tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
ld viceroy,RESALE,"in Chembur East, Mumbai",1 BHK Flat,₹1.54 Cr,"₹35,321 /sqft",436 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Godrej The Trees,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹1.7 Cr,"₹29,876 /sqft",569 sqft,(53 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Godrej The Trees,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹1.9 Cr,"₹36,328 /sqft",693 sqft,(64 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Godrej The Trees,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹1.7 Cr,"₹34,907 /sqft",635 sqft,(59 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Godrej The Trees,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹1.8 Cr,"₹30,612 /sqft",588 sqft,(55 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Godrej The Trees,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹1.56 Cr,"₹27,464 /sqft",568 sqft,(53 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Comet Apartment,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.21 Cr,"₹26,888 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Valencia Apartment,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.19 Cr,"₹26,444 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Odyssey CHS Mumbai,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.18 Cr,"₹26,222 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Labh Sukesh,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹1.15 Cr,"₹26,744 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.6 Cr,"₹31,311 /sqft",511 sqft,(47 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Kanakia Zen World,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹1.19 Cr,"₹26,096 /sqft",750 sqft,(70 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
NG Complex,RESALE,"in Marol, Mumbai",1 BHK Flat,₹1.1 Cr,"₹22,916 /sqft",480 sqft,(45 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.86 Cr,"₹36,186 /sqft",514 sqft,(48 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Odyssey CHS Mumbai,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.21 Cr,"₹25,473 /sqft",475 sqft,(44 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Ajmera Bhakti Park Sector 1 and 2,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.14 Cr,"₹20,727 /sqft",550 sqft,(51 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.78 Cr,"₹34,833 /sqft",511 sqft,(47 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
NG Complex,RESALE,"in Marol, Mumbai",1 BHK Flat,₹1.1 Cr,"₹22,448 /sqft",490 sqft,(46 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.68 Cr,"₹32,876 /sqft",511 sqft,(47 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.55 Cr,"₹33,695 /sqft",460 sqft,(43 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ajmera Bhakti Park Sector 1 and 2,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1 Cr,"₹20,000 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.6 Cr,"₹31,311 /sqft",511 sqft,(47 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.75 Cr,"₹34,246 /sqft",511 sqft,(47 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.7 Cr,"₹33,138 /sqft",955 sqft,(89 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Sayba Residency,RESALE,"in Kurla East, Mumbai",1 BHK Flat,₹99 Lac,"₹22,500 /sqft",440 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Haridwar 1 and 2 CHS,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹95 Lac,"₹17,431 /sqft",545 sqft,(51 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Zen Maple,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.48 Cr,"₹38,743 /sqft",382 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Raviraj Royal,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹1.35 Cr,"₹31,034 /sqft",435 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Aristocrat Anantraj CHS,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹1.04 Cr,"₹24,186 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
Neelyog Aashiyana,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹1 Cr,"₹23,255 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shubh Shanti Complex,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹1.07 Cr,"₹26,097 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Bhoomi Residency,RESALE,"in Mahavir Nagar, Kandivali West",1 BHK Flat,₹1.13 Cr,"₹27,560 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹2.25 Cr,"₹43,774 /sqft",514 sqft,(48 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
Gaytri Satsang Lakshminarayan Vishnu Shivam Chs,RESALE,"in Thakur Village, Kandivali East",1 BHK Flat,₹1.03 Cr,"₹24,582 /sqft",419 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Ajmera Boulevard,RESALE,"in Kanchpada, Malad West",1 BHK Flat,₹1.26 Cr,"₹25,979 /sqft",550 sqft,(51 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Yash apartment Tardeo,RESALE,"in Tardeo, Mumbai",1 BHK Flat,₹2.75 Cr,"₹51,886 /sqft",530 sqft,(49 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
BUILDING,RESALE,"in Andheri West, Mumbai",1 BHK Flat,₹1.65 Cr,"₹35,106 /sqft",470 sqft,(44 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Rajkamal Pride,RESALE,"in Railway Colony, Byculla, Mumbai",1 BHK Flat,₹2.25 Cr,"₹35,712 /sqft",630 sqft,(59 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Rajkamal Pride,RESALE,"in Byculla West, Mumbai",1 BHK Flat,₹2.25 Cr,"₹35,714 /sqft",630 sqft,(59 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Rajkamal Pride,RESALE,"in Byculla West, Mumbai",1 BHK Flat,₹1.25 Cr,"₹36,337 /sqft",344 sqft,(32 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Hiranandani Zen Maple,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.47 Cr,"₹38,684 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Vaishno Heights,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.2 Cr,"₹27,906 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Vaishno Heights,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.25 Cr,"₹29,069 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Legend Apartments,RESALE,"in Vakola, Santacruz East",1 BHK Flat,₹1.7 Cr,"₹35,416 /sqft",480 sqft,(45 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
nahar amrit shakti,RESALE,"in Nahar Amrit Shakti, Chandivali",1 BHK Flat,₹1.35 Cr,"₹34,883 /sqft",387 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Hill Crest,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹1.19 Cr,"₹20,517 /sqft",580 sqft,(54 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Zen Maple,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.55 Cr,"₹40,575 /sqft",382 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Odyssey CHS Ltd,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.18 Cr,"₹20,170 /sqft",585 sqft,(54 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Odyssey Chs Ltd,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.35 Cr,"₹23,076 /sqft",585 sqft,(54 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Odyssey CHS,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.2 Cr,"₹20,512 /sqft",585 sqft,(54 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Ajmera Bhakti Park Sector 1 and 2,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹30,831 /sqft",373 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.6 Cr,"₹34,557 /sqft",750 sqft,(70 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.7 Cr,"₹36,717 /sqft",750 sqft,(70 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Bhoomi Park Layout,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹95 Lac,"₹23,170 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Rashmi Kunj,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹28,395 /sqft",405 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Gurukrupa Marina Enclave,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹98 Lac,"₹21,681 /sqft",452 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sadhu Hiranand CHS,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹75 Lac,"₹19,230 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Bhoomi Park,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹98 Lac,"₹23,902 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
PCPL Serene,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹1.04 Cr,"₹23,266 /sqft",447 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Asmitha Jyothi CHS,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹80 Lac,"₹12,307 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.68 Cr,"₹44,094 /sqft",381 sqft,(35 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Godrej Urban Park,RESALE,"in Chandivali, Mumbai",1 BHK Flat,₹1.35 Cr,"₹30,821 /sqft",438 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Laxmi Shrushti,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹1.15 Cr,"₹26,436 /sqft",435 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Gadgil Niwas,RESALE,"in Vakola, Santacruz East",1 BHK Flat,₹1.55 Cr,"₹31,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Bhoomi Classic,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹1.2 Cr,"₹21,052 /sqft",570 sqft,(53 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
silver,RESALE,"in Ghatkopar East, Mumbai",1 BHK Flat,₹1.1 Cr,"₹26,378 /sqft",417 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shreeji Apartments,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹1.2 Cr,"₹26,666 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Jaykant Solitaire,RESALE,"in Kalina, Santacruz East",1 BHK Flat,₹1.37 Cr,"₹34,250 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Jaykant Solitaire,RESALE,"in Kalina, Santacruz East",1 BHK Flat,₹1.37 Cr,"₹34,250 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Choice,RESALE,"in Ghatkopar East, Mumbai",1 BHK Flat,₹99 Lac,"₹20,286 /sqft",488 sqft,(45 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Ashraya meghna,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹1.25 Cr,"₹30,487 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Ekta Suprabhat,RESALE,"in Siddharth Nagar, Goregaon, Goregaon West",1 BHK Flat,₹1.5 Cr,"₹31,250 /sqft",480 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Pranav Nirvana Residency,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹1.4 Cr,"₹33,018 /sqft",424 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Kanakia Country Park,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹1.35 Cr,"₹33,750 /sqft",550 sqft,(51 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.7 Cr,"₹33,203 /sqft",512 sqft,(48 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Gaurav Shikhar Aakash,RESALE,"in Thakur Village, Kandivali East",1 BHK Flat,₹70 Lac,"₹10,769 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.6 Cr,"₹41,884 /sqft",382 sqft,(35 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
CASA DIVINE,RESALE,"in Andheri West, Mumbai",1 BHK Flat,₹1.15 Cr,"₹34,848 /sqft",470 sqft,(44 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Shree Ram Bhavan,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹85 Lac,"₹17,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
Gurukrupa Marina Enclave,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹99 Lac,"₹21,902 /sqft",452 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Romell Orbis,RESALE,"in Sher E Punjab Colony, Andheri East",1 BHK Flat,₹1.35 Cr,"₹31,542 /sqft",428 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Lake Homes,RESALE,"in Powai, Mumbai",1 BHK Flat,₹1.45 Cr,"₹30,851 /sqft",630 sqft,(59 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Ajmera greenfinity apartment,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.16 Cr,"₹35,692 /sqft",325 sqft,(30 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
Ajmera Greenfinity,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.17 Cr,"₹34,210 /sqft",342 sqft,(32 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Ajmera Bhakti Park Sector 1 and 2,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.2 Cr,"₹26,666 /sqft",575 sqft,(53 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
ajmera greenfinity,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹32,033 /sqft",359 sqft,(33 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Happy Home CHS,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹1.2 Cr,"₹28,571 /sqft",420 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Divine Heights,RESALE,"in Bandra West, Mumbai",1 BHK Flat,₹2.12 Cr,"₹45,591 /sqft",465 sqft,(43 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Panom Park,RESALE,"in Goraswadi, Malad West",1 BHK Flat,₹1.24 Cr,"₹28,637 /sqft",433 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Nakul Raj,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹1.15 Cr,"₹28,395 /sqft",405 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Omkar Signet,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.1 Cr,"₹33,033 /sqft",333 sqft,(31 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Omkar Signet,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹32,857 /sqft",350 sqft,(33 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Omkar Signet,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹34,534 /sqft",530 sqft,(49 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Omkar Signet,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.1 Cr,"₹33,033 /sqft",530 sqft,(49 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Lake Homes,RESALE,"in Powai, Mumbai",1 BHK Flat,₹1.4 Cr,"₹30,769 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Kapil Bayview,RESALE,"in Mazgaon, Mumbai",1 BHK Flat,₹1.52 Cr,"₹35,764 /sqft",425 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Kapil Bayview,RESALE,"in Mazgaon, Mumbai",1 BHK Flat,₹1.35 Cr,"₹34,974 /sqft",386 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shivoham Building,RESALE,"in Grant Road East, Mumbai",1 BHK Flat,₹2.2 Cr,"₹49,549 /sqft",444 sqft,(41 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Shivoham Building,RESALE,"in Grant Road, Mumbai",1 BHK Flat,₹2.5 Cr,"₹48,923 /sqft",511 sqft,(47 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shivoham Building,RESALE,"in Grant Road East, Mumbai",1 BHK Flat,₹2.15 Cr,"₹48,863 /sqft",440 sqft,(41 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Asmitha Jyothi CHS,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹80 Lac,"₹16,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Serene CHS,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹1.02 Cr,"₹22,818 /sqft",447 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Hi On Heights,RESALE,"in Khar West, Mumbai",1 BHK Flat,₹60 Lac,"₹15,789 /sqft",380 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.55 Cr,"₹29,807 /sqft",520 sqft,(48 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Zen Maple,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.56 Cr,"₹40,519 /sqft",385 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹2.25 Cr,"₹31,034 /sqft","1,000 sqft",(93 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Godrej Urban Park,RESALE,"in Chandivali, Mumbai",1 BHK Flat,₹1.45 Cr,"₹34,855 /sqft",416 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.6 Cr,"₹42,216 /sqft",379 sqft,(35 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.58 Cr,"₹44,886 /sqft",352 sqft,(33 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Kanakia Silicon Valley.,RESALE,"in Powai, Mumbai",1 BHK Flat,₹1.6 Cr,"₹27,164 /sqft",589 sqft,(55 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Gurukrupa Ghanshyam,RESALE,"in Pant Nagar, Ghatkopar",1 BHK Flat,₹1.1 Cr,"₹26,004 /sqft",423 sqft,(39 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lalani Velentine Apartment 1,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹28,750 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Lalani Velentine Apartment 1,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.25 Cr,"₹30,987 /sqft",405 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
HDIL Dheeraj Upvan,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹95 Lac,"₹14,615 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Gundecha Sunflower,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.3 Cr,"₹20,000 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
DB Ozone,RESALE,"in Dahisar East, Mumbai",1 BHK Flat,₹55 Lac,"₹13,126 /sqft",605 sqft,(56 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
MANIK APARTMENT,RESALE,"in Dadar West, Mumbai",1 BHK Flat,₹2.2 Cr,"₹43,478 /sqft",506 sqft,(47 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Romell Orbis,RESALE,"in Sher E Punjab Colony, Andheri East",1 BHK Flat,₹1.35 Cr,"₹31,690 /sqft",426 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Romell Orbis,RESALE,"in Sher E Punjab Colony, Andheri East",1 BHK Flat,₹1.34 Cr,"₹31,529 /sqft",425 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Impact Silicon Park,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹85 Lac,"₹20,731 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
royal diamond park,RESALE,"in Santacruz East, Mumbai",1 BHK Flat,₹1.63 Cr,"₹34,029 /sqft",479 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
White City,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹24,008 /sqft",479 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
White City,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.2 Cr,"₹25,052 /sqft",479 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.65 Cr,"₹43,535 /sqft",379 sqft,(35 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Zen Maple,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.5 Cr,"₹24,000 /sqft",625 sqft,(58 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Godrej Urban Park,RESALE,"in Chandivali, Mumbai",1 BHK Flat,₹1.47 Cr,"₹32,214 /sqft",456 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shardai Laxman Nagar CHS,RESALE,"in Sector 2 Charkop, Kandivali West",1 BHK Flat,₹86 Lac,"₹19,111 /sqft",648 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Abrol Signature,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹90.74 Lac,"₹20,345 /sqft",534 sqft,(50 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Gurukrupa Marina Enclave,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹1.1 Cr,"₹24,122 /sqft",546 sqft,(51 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
Aishwarya Heights,RESALE,"in Mulund East, Mumbai",1 BHK Flat,₹1.4 Cr,"₹18,348 /sqft",763 sqft,(71 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Neelam Nagar,RESALE,"in Neelam Nagar, Mulund",1 BHK Flat,₹83 Lac,"₹23,714 /sqft",560 sqft,(52 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Estep Nagar,RESALE,"in Dahisar West, Mumbai",1 BHK Flat,₹1.04 Cr,"₹24,940 /sqft",419 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Acme Complex,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹1.29 Cr,"₹28,666 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
Jaykant Solitaire,RESALE,"in Kalina, Santacruz East",1 BHK Flat,₹1.37 Cr,"₹33,414 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
