tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
Omkar Vive,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹1.15 Cr,"₹22,115 /sqft",520 sqft,(48 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Omkar Meridia,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹1.2 Cr,"₹17,142 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Deepalika Apartments,RESALE,"in Yagna Nagar, Andheri West",1 BHK Flat,₹1.5 Cr,"₹24,000 /sqft",625 sqft,(58 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.57 Cr,"₹41,424 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.58 Cr,"₹22,571 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.55 Cr,"₹40,897 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.55 Cr,"₹40,897 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.54 Cr,"₹22,000 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Kanakia Country Park,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹1.25 Cr,"₹27,777 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
gurukrupa param,RESALE,"in Kannamwar Nagar 2, Vikhroli East",1 BHK Flat,₹85 Lac,"₹21,250 /sqft",660 sqft,(61 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Gurukrupa Marina Enclave,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹1 Cr,"₹22,123 /sqft",452 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Crystal Apartment,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹1.22 Cr,"₹24,400 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Mass U Foria,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹87 Lac,"₹14,032 /sqft",620 sqft,(58 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
DB Ozone,RESALE,"in Dahisar, Mumbai",1 BHK Flat,₹51 Lac,"₹8,717 /sqft",585 sqft,(54 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Zen Maple,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.5 Cr,"₹39,267 /sqft",382 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Hiranandani Zen Maple,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.47 Cr,"₹38,481 /sqft",382 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
L Nagpal N N Tower,RESALE,"in Khar West, Mumbai",1 BHK Flat,₹3.25 Cr,"₹65,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Anita Nagar CHS,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹70 Lac,"₹24,137 /sqft",290 sqft,(27 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.89 Cr,"₹36,986 /sqft",511 sqft,(47 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Corolla Jewel,RESALE,"in Raje Shivaji Nagar, Marol",1 BHK Flat,₹92 Lac,"₹22,439 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
