tupleNew__locationName,tupleNew__propType,tupleNew__bOld,tupleNew__rera src,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__possessionBy
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Lodha The Park,"in Worli, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹4.71 Cr,"₹52,743 /sqft",893 sqft,(83 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Panorama,"in Seven Bunglow, Andheri West",2 BHK Flat,,₹2.7 Cr,"₹32,727 /sqft",825 sqft,(77 sqm),Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
Jaihind Estate,"in Cawasji Patel Tank, Bhuleshwar, Mumbai",2 BHK Flat,,₹2.95 Cr,"₹37,060 /sqft",796 sqft,(74 sqm),Carpet Area,2 BHK,Ready To Move
Madonna Apartments,"in Orlem, Malad West",2 BHK Flat,,₹1.45 Cr,"₹17,058 /sqft",850 sqft,(79 sqm),Built-up Area,2 BHK,Ready To Move
Omkar Meridia,"in Bandra Kurla Complex, Mumbai",2 BHK Flat,,₹2.35 Cr,"₹31,333 /sqft",750 sqft,(70 sqm),Carpet Area,2 BHK,Ready To Move
Lodha The Park,"in Worli, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹5.3 Cr,"₹59,417 /sqft","1,100 sqft",(102 sqm),Super Built-up Area,2 BHK,Ready To Move
Deep CHS,"in DN Nagar, Andheri West",2 BHK Flat,,₹3.6 Cr,"₹32,727 /sqft","1,100 sqft",(102 sqm),Built-up Area,2 BHK,Ready To Move
Vinaya Co-op. Housing Society,"in Mahim West, Mumbai",2 BHK Flat,,₹3.5 Cr,"₹37,715 /sqft",928 sqft,(86 sqm),Carpet Area,2 BHK,Ready To Move
RNA Oakland Park,"in Yamuna Nagar, Andheri West",2 BHK Flat,,₹3.45 Cr,"₹43,017 /sqft",950 sqft,(88 sqm),Super Built-up Area,2 BHK,Ready To Move
Shyam Nivas,"in Breach Candy, Cumbala Hill, Mumbai",2 BHK Flat,,₹6.5 Cr,"₹58,035 /sqft","1,120 sqft",(104 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Marathon NextGen CHS,"in Lower Parel West, Mumbai",2 BHK Flat,,₹5 Cr,"₹58,004 /sqft","1,388 sqft",(129 sqm),Super Built-up Area,2 BHK,Ready To Move
Willows Twin Towers,"in Swapna Nagari, Mulund West",2 BHK Flat,,₹2.25 Cr,"₹32,142 /sqft",980 sqft,(91 sqm),Built-up Area,2 BHK,Ready To Move
